Date,Symbol,Close,Open,High,Low,Volume,AdjClose
6/29/2010,TSLA,1.592666984,1.266667008,1.666666985,1.169332981,281494500,1.592666984
6/30/2010,TSLA,1.588667035,1.719333053,2.028000116,1.553333044,257806500,1.588667035
7/1/2010,TSLA,1.463999987,1.666666985,1.728000045,1.351333022,123282000,1.463999987
7/2/2010,TSLA,1.279999971,1.533332944,1.539999962,1.24733305,77097000,1.279999971
7/6/2010,TSLA,1.074000001,1.333333015,1.333333015,1.055333018,103003500,1.074000001
7/7/2010,TSLA,1.053333044,1.093333006,1.108667016,0.998667002,103825500,1.053333044
7/8/2010,TSLA,1.164000034,1.075999975,1.167999983,1.037999988,115671000,1.164000034
7/9/2010,TSLA,1.159999967,1.172000051,1.19333303,1.103332996,60759000,1.159999967
7/12/2010,TSLA,1.136667013,1.196666956,1.204666972,1.133332968,33037500,1.136667013
7/13/2010,TSLA,1.209332943,1.159332991,1.24266696,1.126667023,40201500,1.209332943
7/14/2010,TSLA,1.322667003,1.19599998,1.343333006,1.184000015,62928000,1.322667003
7/15/2010,TSLA,1.325999975,1.329332948,1.433333039,1.266667008,56097000,1.325999975
7/16/2010,TSLA,1.376000047,1.379999995,1.419999957,1.336666942,39319500,1.376000047
7/19/2010,TSLA,1.460667014,1.424667001,1.483332992,1.394667029,37297500,1.460667014
7/20/2010,TSLA,1.353332996,1.456666946,1.456666946,1.336666942,27379500,1.353332996
7/21/2010,TSLA,1.34800005,1.377333045,1.393332958,1.299999952,18787500,1.34800005
7/22/2010,TSLA,1.399999976,1.366667032,1.416666985,1.35800004,14367000,1.399999976
7/23/2010,TSLA,1.419332981,1.412667036,1.437332988,1.404000044,9804000,1.419332981
7/26/2010,TSLA,1.396667004,1.433333039,1.433333039,1.353332996,13833000,1.396667004
7/27/2010,TSLA,1.370000005,1.394000053,1.411999941,1.350667,9295500,1.370000005
7/28/2010,TSLA,1.381332994,1.370000005,1.393332958,1.367333055,7008000,1.381332994
7/29/2010,TSLA,1.356667042,1.384667039,1.39199996,1.333333015,9240000,1.356667042
7/30/2010,TSLA,1.329332948,1.346667051,1.362666965,1.303333044,6403500,1.329332948
8/2/2010,TSLA,1.394667029,1.366667032,1.398000002,1.355332971,10771500,1.394667029
8/3/2010,TSLA,1.463333011,1.399999976,1.463333011,1.388000011,18457500,1.463333011
8/4/2010,TSLA,1.417333007,1.463333011,1.478667021,1.389999986,13695000,1.417333007
8/5/2010,TSLA,1.363332987,1.43599999,1.436666965,1.336666942,11943000,1.363332987
8/6/2010,TSLA,1.305999994,1.340000033,1.343999982,1.301332951,11128500,1.305999994
8/9/2010,TSLA,1.30666697,1.326666951,1.332000017,1.29666698,12190500,1.30666697
8/10/2010,TSLA,1.268666983,1.309999943,1.309999943,1.254667044,19219500,1.268666983
8/11/2010,TSLA,1.19333303,1.246000051,1.258666992,1.190000057,11964000,1.19333303
8/12/2010,TSLA,1.173333049,1.186666965,1.19333303,1.159332991,10365000,1.173333049
8/13/2010,TSLA,1.221333027,1.212000012,1.230000019,1.177332997,9510000,1.221333027
8/16/2010,TSLA,1.251999974,1.230000019,1.253332973,1.217332959,7287000,1.251999974
8/17/2010,TSLA,1.276666999,1.264000058,1.293333054,1.251999974,6718500,1.276666999
8/18/2010,TSLA,1.251332998,1.305999994,1.305999994,1.24000001,9019500,1.251332998
8/19/2010,TSLA,1.25266695,1.235999942,1.283332944,1.222000003,8686500,1.25266695
8/20/2010,TSLA,1.273332953,1.243332982,1.274000049,1.233999968,4440000,1.273332953
8/23/2010,TSLA,1.342000008,1.27266705,1.359333038,1.266667008,16321500,1.342000008
8/24/2010,TSLA,1.279999971,1.283332944,1.31400001,1.263332963,10096500,1.279999971
8/25/2010,TSLA,1.326666951,1.277333021,1.332000017,1.237333059,7549500,1.326666951
8/26/2010,TSLA,1.316666961,1.325999975,1.351333022,1.30666697,6507000,1.316666961
8/27/2010,TSLA,1.313333035,1.316666961,1.324666977,1.299999952,5694000,1.313333035
8/30/2010,TSLA,1.324666977,1.313333035,1.345999956,1.307332993,10992000,1.324666977
8/31/2010,TSLA,1.298666954,1.310667038,1.319332957,1.288666964,3016500,1.298666954
9/1/2010,TSLA,1.363332987,1.307999969,1.379333019,1.30666697,7423500,1.363332987
9/2/2010,TSLA,1.404000044,1.35800004,1.416000009,1.353999972,7306500,1.404000044
9/3/2010,TSLA,1.403332949,1.391332984,1.419999957,1.377333045,6519000,1.403332949
9/7/2010,TSLA,1.369333029,1.373999953,1.399999976,1.366667032,3651000,1.369333029
9/8/2010,TSLA,1.393332958,1.377333045,1.396667004,1.373332977,4326000,1.393332958
9/9/2010,TSLA,1.380666971,1.399999976,1.403332949,1.379333019,5643000,1.380666971
9/10/2010,TSLA,1.344666958,1.383332968,1.395333052,1.317332983,5799000,1.344666958
9/13/2010,TSLA,1.381332994,1.392667055,1.393332958,1.366667032,5412000,1.381332994
9/14/2010,TSLA,1.407999992,1.369333029,1.440000057,1.368667006,9820500,1.407999992
9/15/2010,TSLA,1.465332985,1.398666978,1.466667056,1.386000037,10269000,1.465332985
9/16/2010,TSLA,1.396000028,1.476667047,1.54400003,1.38933301,40267500,1.396000028
9/17/2010,TSLA,1.348667026,1.401332974,1.421332955,1.320000052,17977500,1.348667026
9/20/2010,TSLA,1.404000044,1.378000021,1.423333049,1.343999982,14212500,1.404000044
9/21/2010,TSLA,1.384667039,1.392667055,1.436666965,1.378000021,11940000,1.384667039
9/22/2010,TSLA,1.324666977,1.391332984,1.396667004,1.320000052,14443500,1.324666977
9/23/2010,TSLA,1.30400002,1.325999975,1.342666984,1.299999952,10021500,1.30400002
9/24/2010,TSLA,1.340000033,1.330000043,1.345999956,1.309999943,8683500,1.340000033
9/27/2010,TSLA,1.368667006,1.360000014,1.387333035,1.336666942,6279000,1.368667006
9/28/2010,TSLA,1.426666975,1.402667046,1.432667017,1.383999944,18217500,1.426666975
9/29/2010,TSLA,1.465332985,1.412667036,1.46866703,1.408666968,29539500,1.465332985
9/30/2010,TSLA,1.36066699,1.466667056,1.476667047,1.345999956,32937000,1.36066699
10/1/2010,TSLA,1.373332977,1.379333019,1.383332968,1.353999972,8965500,1.373332977
10/4/2010,TSLA,1.399333,1.361999989,1.411332965,1.353332996,9654000,1.399333
10/5/2010,TSLA,1.407999992,1.409999967,1.418666959,1.400666952,4980000,1.407999992
10/6/2010,TSLA,1.363999963,1.404000044,1.417333007,1.354666948,4701000,1.363999963
10/7/2010,TSLA,1.361999989,1.371333003,1.376000047,1.355999947,2115000,1.361999989
10/8/2010,TSLA,1.361999989,1.361999989,1.386000037,1.359333038,4017000,1.361999989
10/11/2010,TSLA,1.349333048,1.362666965,1.379999995,1.338000059,2568000,1.349333048
10/12/2010,TSLA,1.349333048,1.346667051,1.351999998,1.33533299,3660000,1.349333048
10/13/2010,TSLA,1.369333029,1.376000047,1.389999986,1.357332945,4773000,1.369333029
